Trash Pollution,Oil Concentration,Bacteria Level,Algae Concentration,Humidity,Wind Direction,Air Temperature
High,1.74,205,7.32,54,325,25
Medium,0.07,158,2.23,40,163,0
High,1.87,14,0.05,91,,21
Low,0.7,215,7.01,29,112,2
High,3.33,212,4.74,78,,29
Low,1.14,115,14.77,93,30,0
Medium,1.22,109,5.41,43,46,-9
Medium,0.18,114,0.02,50,114,-2
Medium,1.86,243,5.95,79,310,21
Low,1,341,2.8,92,343,-6
High,1.31,320,14.3,75,338,21
High,1.53,303,12.74,23,285,27
High,3.62,270,2.64,33,176,9
Medium,1.08,291,0.55,54,183,10
High,3.5,50,11.22,79,270,
High,1.99,172,7.68,65,206,27
Medium,0.1,174,0.61,25,181,8
Low,1.73,163,6.07,21,198,23
High,2.69,297,11.11,100,197,36
High,2,307,6.29,96,329,24
Medium,1.41,60,8.64,57,222,35
High,3.64,226,7.77,92,359,40
Medium,1.17,169,3.79,56,114,23
Medium,3.29,292,11.09,61,233,35
Medium,2.24,171,10.33,59,,32
Low,2.35,185,6.01,87,333,22
High,1.46,354,14.69,100,25,22
Low,0.6,106,2.51,25,29,7
High,3.65,282,1.27,41,118,-6
High,2.88,392,9.44,53,226,20
Medium,0.4,97,0.92,30,8,-9
High,2.51,25,13.46,66,348,22
Medium,3.16,380,7.49,35,221,24
Low,0.43,97,1.9,85,77,6
High,2.6,186,4.44,99,330,-10
Medium,0.91,69,2.19,14,173,35
Medium,2.42,176,3.43,53,180,20
High,0.76,61,2.52,57,179,10
Medium,1.59,376,3.07,38,74,15
High,1.67,128,2.34,60,84,12
Low,1.87,130,5.49,14,108,-9
High,3.49,233,13.23,78,207,37
Medium,1.61,78,0.56,23,124,36
Medium,0.45,3,9.57,53,150,-10
Medium,2.42,73,7.04,45,178,30
Low,0.24,46,5.62,90,93,-7
High,2.41,313,4.03,17,71,-1
Medium,2.75,334,5.53,69,240,33
Medium,1.48,251,11.32,91,329,26
Low,1.62,18,6.26,17,158,-4
High,2.19,295,6.89,92,229,34
Low,0.32,248,4.84,49,183,34
High,1.67,13,1,16,158,-9
High,2.3,189,11.93,68,269,5
Medium,2.05,154,6.72,48,196,27
Medium,0.46,113,4.97,23,196,24
Low,1.54,80,1.37,26,136,12
Medium,1.13,178,3.39,43,29,15
Low,3.16,270,14.88,70,326,38
Low,1.38,98,14.02,49,175,-1
Medium,1.76,94,10.46,60,32,8
Medium,1.62,362,7.38,63,206,33
Low,3.66,153,9.83,24,196,9
Low,0.26,197,4.69,35,118,18
Low,0.66,54,0.77,15,287,21
Medium,2.33,269,7.11,21,297,31
Low,1.41,176,3.41,15,119,-2
High,3.58,307,7.2,72,227,40
Low,1.33,190,10.22,30,38,
Medium,0.04,102,6.78,34,2,26
Medium,1.98,103,11.85,81,292,24
High,0.01,62,3.9,39,49,-5
Low,1.53,83,1.88,53,4,-2
,0.4,29,3.79,50,134,-9
High,2.49,112,6.83,55,87,3
Medium,3.41,173,7.41,60,272,
Medium,1.7,196,6.12,47,114,12
Medium,3.04,375,7.21,71,320,34
Low,0.44,31,3.21,24,145,39
Low,0.55,268,0.57,16,242,31
Medium,2.27,263,10.61,82,232,25
Medium,3.21,370,7.31,21,233,-6
Medium,1.45,399,4.72,30,184,19
Medium,1.2,339,0.97,20,4,3
High,0.01,195,4.98,50,72,2
Low,1.71,134,5.87,19,46,-5
Medium,1.26,161,14.09,87,296,25
High,1.31,163,0.83,39,159,
Medium,0.17,65,13.08,,314,
Medium,0.64,136,3.05,35,303,3
High,3.28,165,12.64,63,289,30
Medium,1.28,279,5.56,72,,28
Medium,1.93,74,12.57,77,139,15
Medium,2.85,350,13.32,56,293,33
Low,0.03,22,2.19,54,120,17
Low,1.98,267,12.99,37,95,18
High,1.96,381,10.37,88,195,31
Low,1.56,142,6.75,25,133,31
Medium,0.17,157,1.15,50,44,19
Medium,0.08,263,0.89,17,96,25
High,3.59,333,4.26,39,192,26
High,2.68,252,8.87,56,319,7
Medium,1.15,82,6.43,86,,0
High,2.91,310,3.5,69,190,22
High,3.4,274,2.15,68,135,36
Medium,1.72,63,14.91,62,190,33
Medium,2.42,32,4,49,192,32
High,1.28,261,13.63,56,183,21
Low,0.13,97,14.24,61,271,35
Low,1.6,215,5.45,32,96,3
Medium,1.03,103,6.7,17,85,-9
Low,1.88,341,0.18,79,347,37
Medium,0.65,267,8.51,26,188,18
High,2.31,56,0.03,46,99,15
Medium,1.88,29,6.5,39,133,3
Low,1.76,257,11.29,78,,-7
Medium,0.34,45,6.71,85,66,14
Low,1.3,293,4.68,49,112,10
Medium,3.09,279,10.92,77,68,34
Low,2.99,288,13.24,80,317,39
Medium,0.67,124,7.24,16,57,13
,1.36,362,8.57,52,352,38
Medium,0.06,51,6.92,57,264,-4
High,0.84,114,2.87,36,337,30
Low,2.83,320,7.61,89,187,31
Medium,1.82,179,11.56,78,316,27
High,0.37,69,1.69,58,153,18
Medium,1.99,178,14.9,61,262,21
Medium,1.55,186,3.99,50,161,39
Medium,2.02,170,6.62,38,26,20
High,0.13,392,4.32,100,257,31
Medium,0.21,365,1.23,54,169,2
Low,1.85,317,11.42,53,314,34
Medium,,58,5.31,81,296,30
Low,0.57,182,7.1,54,25,13
Medium,3.85,248,11.19,50,254,30
High,0.73,168,2.69,22,192,17
High,2.03,377,1.03,94,220,24
Low,2.78,147,1.66,55,123,-5
Low,3.94,98,10.63,36,152,17
Medium,1.72,47,0.58,25,163,-10
Low,1.3,17,1.32,29,52,3
Low,2.17,65,4.53,52,303,34
Low,2.92,358,5.53,59,297,38
High,1.99,173,2.4,18,105,-3
High,3.26,120,6.04,36,296,39
Low,0.62,135,7.18,19,148,39
Medium,1.81,170,5.29,21,12,
,0.74,313,1.63,31,117,-2
High,0.75,66,4.13,24,20,16
Low,0.98,312,0.27,35,116,3
Low,3.91,148,0.79,17,6,16
High,1.83,63,2.35,60,65,
Low,0.8,34,1.67,26,195,20
High,2.99,70,9.67,65,337,39
Low,0.13,93,2.41,18,24,2
Medium,1.64,8,2.21,44,38,24
High,2.61,197,4.55,69,227,40
Low,1.22,166,12,98,40,12
High,1.92,209,12.8,95,192,30
Low,1.3,153,7.14,58,286,-6
High,2.96,222,5.14,80,206,29
High,3.39,155,8.09,58,360,25
Medium,2.33,85,10.87,100,209,24
High,3.22,236,7.95,61,282,29
High,0.18,333,8.39,92,190,14
Medium,1.37,138,2.72,31,88,-3
Low,2.31,204,13.13,70,301,26
Low,0.52,54,0.26,36,81,-7
High,2.08,15,3.1,49,200,-8
Medium,1.73,130,5.4,,82,-4
Low,1.26,161,6.68,22,135,39
,0.77,148,2.09,29,25,0
Medium,0.26,137,0.53,42,101,14
Low,2.54,302,12.95,52,322,20
Low,0.76,157,1,84,37,
Medium,1.5,146,5.05,40,34,6
Medium,2.17,319,7.11,74,89,28
High,0.29,124,5.86,87,206,30
High,2.57,164,11.24,82,277,22
Low,0.69,324,0.9,35,54,-3
Low,1.51,304,14.53,91,292,18
Medium,2.84,202,13.83,99,319,27
High,3.98,327,12.92,95,359,14
Low,2.46,345,8.35,57,246,34
Medium,1.32,259,11,69,176,24
Low,3.33,394,11.81,63,187,20
Low,3.14,180,4.63,23,270,33
Low,1.89,52,0.04,,195,-9
Medium,0.41,396,4.96,32,132,21
Medium,1.38,9,13.31,52,204,28
High,2.53,293,13.32,65,251,27
Medium,1.5,259,0.49,14,52,21
High,2.1,240,1.24,,90,35
High,2.83,155,10.67,61,308,27
Medium,1.27,32,0.46,60,141,20
Medium,2.35,24,7.41,40,199,-9
Low,0.67,72,1.5,41,91,2
High,0.06,153,0.5,30,147,9
Low,3.8,221,8.48,62,313,37
Medium,3.73,395,12.65,23,328,34
High,1.69,344,6.81,48,263,32
Low,1.38,187,13.53,94,315,39
Medium,0.61,159,3.34,44,4,34
Medium,2.37,250,12.68,90,195,35
High,0.63,105,4.75,37,159,29
Low,1.78,63,6.53,99,145,37
Medium,0.34,185,12.89,72,350,27
High,0.39,135,2.42,41,36,7
Medium,1.66,248,6.35,74,297,22
Medium,1.22,206,8.21,51,293,30
Medium,2.53,379,7.03,76,337,31
Medium,1.92,56,3.22,83,117,-7
Medium,1.41,346,12.53,89,349,31
Medium,1.95,14,7.05,26,197,8
Medium,1.43,157,1.38,32,314,14
Low,0.38,1,4.02,31,26,9
High,1.36,211,4.14,59,198,-2
Medium,3.73,380,9.41,64,277,
High,1.83,78,4.29,38,63,13
Medium,,87,4.66,14,299,23
Medium,1.51,160,0.73,59,280,27
Low,0.82,158,12.09,47,4,22
High,0.52,323,3.36,86,282,28
High,1.56,387,4.66,37,191,32
Medium,2.75,179,9.29,14,351,24
Low,0.67,2,6.65,54,94,17
Medium,3.03,182,5.69,73,318,21
High,3.35,19,4.64,35,93,10
Medium,3.51,249,12.33,96,207,25
Low,0.49,87,6.29,,24,-5
High,3.09,368,10.95,95,311,29
Medium,0.67,113,6.36,34,123,35
High,0.39,14,6.45,43,169,-10
Low,0.76,135,6.4,44,4,18
Low,3.5,378,6.69,59,185,22
Low,1.83,265,8.41,25,35,25
High,0.66,390,3.24,43,101,19
Low,1.82,168,1.38,31,360,1
Medium,1.18,56,4.5,29,168,20
High,2.07,279,6.63,54,224,23
High,0.21,64,2.97,47,162,22
Low,1.59,281,0.79,49,45,3
High,1.82,24,8.89,99,275,40
Medium,0.33,48,6.4,32,12,20
Low,0.41,16,3.05,17,113,-8
Medium,2.01,358,8.91,19,,39
Low,1.28,83,5.41,51,102,-3
High,2.18,294,7.09,89,142,30
Medium,0.36,160,9.64,99,88,20
Low,1.81,169,7.22,35,170,5
Low,1.11,49,0.12,17,44,6
Low,0.33,104,1.87,35,16,-9
Medium,0.88,56,7.11,59,142,38
,0.23,75,13.48,53,76,12
High,3.07,170,14.8,79,238,26
Medium,4,71,7.55,76,196,4
High,1.62,284,7.82,81,287,39
Medium,1.48,101,1.97,38,161,28
High,2.08,200,12.79,71,275,22
Medium,0.98,115,4.68,45,29,2
Medium,2.55,222,5.53,89,311,38
Low,3.56,169,11,85,334,29
Low,3.22,277,7.16,73,190,
High,1.54,308,5.57,92,339,25
,2.29,156,12.72,67,182,20
Medium,0.05,145,12.69,57,50,25
Low,1.95,173,8.92,89,202,34
Low,2.18,193,11.2,91,341,21
Low,1.16,32,5.22,56,135,24
Medium,2.03,104,3.83,28,100,25
Medium,0.67,166,1.69,50,61,13
Low,0.41,277,3,52,31,1
Medium,1.73,127,8.69,21,12,16
High,1.96,248,12.65,82,243,32
Low,1.58,209,14.79,90,323,27
High,1.37,130,4.04,28,127,2
Medium,0.03,28,5.38,17,106,10
Medium,4,156,10.25,65,217,21
Medium,0.41,93,1.17,71,214,18
,1.79,182,0.96,38,94,-1
High,2.07,180,13.16,61,313,38
Low,1.9,276,5.78,45,,5
Low,3.58,182,5.11,80,347,40
Medium,0.76,192,0.15,14,157,14
Medium,3.62,274,4.42,15,196,39
High,1.29,45,5.32,54,128,28
High,3.93,10,4.69,65,358,-6
Medium,1.6,123,6.05,42,195,5
High,1.4,191,11.28,54,191,26
High,0.2,191,3.86,54,194,29
High,2.16,213,4.59,50,216,35
Medium,0.46,31,2.77,53,127,4
High,0.71,52,5.35,23,99,-7
Low,0.21,172,4.55,16,129,15
Medium,3.15,189,14.9,80,130,27
High,1.51,50,2.08,47,155,14
Medium,1.91,102,2.4,16,17,28
Medium,1.33,19,3.17,83,138,15
Low,0.42,186,4.88,45,197,-5
High,0.62,194,2.47,29,59,2
Medium,1.22,184,1.31,48,302,0
Medium,3.35,183,10.81,81,242,34
Medium,3.4,177,2.89,100,50,35
Medium,0.99,175,2.64,72,56,19
Medium,,95,5.2,63,171,31
High,0.78,188,8.46,52,196,-3
High,2.24,195,5.07,64,327,23
Medium,1.44,240,6.41,51,137,11
High,1.05,176,1.23,45,83,-9
Low,3.05,147,7.6,60,64,24
Medium,3.21,85,11.16,56,192,32
Low,2.47,192,13.57,18,334,16
,2.21,254,12.61,62,235,25
Medium,1.62,377,11.94,86,343,29
High,3.62,179,8.48,,297,
Medium,0.81,307,11.02,96,214,25
High,2.03,249,6.34,84,320,28
Medium,0.47,367,6.92,60,50,0
High,1.19,210,6.86,74,207,35
Medium,0.94,65,7.15,59,91,0
Medium,1.22,154,4.73,71,246,24
High,3.24,65,5.95,95,200,
Low,1.65,69,7.04,14,99,25
Medium,2.33,302,7.52,83,288,28
Medium,1.33,145,0.88,43,197,25
Medium,2.36,300,10.2,55,183,40
High,0.79,153,12.51,31,176,26
,2.51,231,4.77,82,199,35
Medium,3.79,88,8.01,66,314,22
Medium,3.57,195,6.32,19,93,16
Medium,0.6,111,0.82,53,68,-2
Low,0.91,169,0.57,47,13,25
High,0.46,8,6.71,18,103,33
Low,1.23,393,5.28,83,226,25
Medium,3.5,228,9.71,85,317,36
High,2.92,107,5.57,47,177,20
Medium,0.81,179,5.97,34,118,7
High,1.59,241,11.9,77,133,
Medium,1.66,191,10.98,55,294,28
Low,0.05,223,1.39,28,157,-1
Medium,1.96,50,4.04,36,164,13
Low,0.61,82,4.56,45,77,5
Low,3.55,149,13.66,50,349,29
Medium,0.32,71,2.32,32,152,16
Medium,1.24,184,2.99,43,143,23
Medium,3.03,398,13.89,64,298,36
Medium,2.53,261,1.71,68,346,10
Low,0.64,122,2.53,22,16,19
Medium,1.31,185,1.43,54,314,2
High,1.87,348,11.92,52,254,28
High,3.56,100,1.28,41,117,
Low,0.2,20,3.31,60,87,30
Low,0.91,56,2.05,27,,18
Low,0.34,393,3.81,34,101,2
Medium,3.65,388,10.58,90,350,37
Low,0.24,61,0.45,58,34,6
High,3.24,365,5.52,70,263,38
High,3.22,264,11.29,62,231,21
High,0.31,201,11.77,19,142,14
Medium,0.78,56,4.73,93,255,24
High,1.59,347,12.12,59,230,35
Low,3.95,302,6.3,87,80,17
High,3.46,381,8.26,33,343,35
High,1.62,121,6.2,25,78,8
High,1.25,96,10.39,81,279,40
Medium,2.34,376,6.12,92,326,33
Low,1.88,150,5.6,27,161,16
Low,0.26,183,14.03,47,132,24
High,0.49,296,11.12,85,318,30
High,1.9,157,5.47,,57,-2
Low,0.09,285,5.98,24,327,2
Low,0.31,116,6.12,41,92,32
Medium,1.4,69,13.87,98,292,33
Low,2.51,305,4.42,58,282,15
Medium,1.48,229,5.79,85,28,25
Low,1.13,326,4.98,33,182,22
Medium,1.4,188,3.99,70,136,22
Low,1.92,57,5.93,31,196,17
Medium,0.94,287,1.76,55,336,-6
High,0.02,378,5.7,74,241,35
Medium,,198,12.01,40,,14
Low,0.42,140,0.74,61,83,4
Low,1.25,47,4.96,14,96,-2
Medium,1.87,278,13.32,28,316,39
Medium,3.88,49,6.28,56,69,-2
Low,1.48,194,12.26,78,278,37
High,1.06,391,3.61,34,67,9
Medium,0.61,181,12.54,15,162,16
High,1.83,309,13.19,88,341,25
Medium,3.26,259,10.36,90,332,35
Low,0.44,136,7.08,40,181,25
,1.23,42,3.32,20,151,22
Low,1.62,150,7.04,62,304,35
High,2.74,251,11.53,100,203,25
Low,0.18,26,1.1,44,152,10
Medium,3.83,187,1.18,,343,26
High,1.62,326,8.15,83,287,36
Medium,1.89,184,5.96,19,96,18
Medium,1.57,69,0.77,52,126,38
High,3.22,260,7.33,59,209,23
High,2.54,169,10,78,281,30
Medium,1.95,60,0.52,28,141,-3
High,0.49,350,6.79,60,123,5
Medium,0.92,331,10.04,77,191,34
High,0.06,110,3.41,34,79,29
Low,0.77,112,4.34,53,9,19
High,1.95,92,5.26,33,31,3
High,1.84,129,5.97,93,258,25
Medium,1.02,308,5.19,99,196,39
Medium,3.25,246,0.19,96,318,27
High,0.54,10,0.55,58,,-1
Low,1.63,350,8.12,99,288,29
High,0.8,181,2.63,16,48,10
High,2.8,201,4.54,59,273,25
Medium,2.05,335,11.89,60,270,21
Medium,1.6,306,5.56,90,263,24
Medium,0.26,345,4.33,47,14,-4
Medium,1.18,33,0.06,20,329,6
High,0.96,129,4.03,14,23,19
High,1.87,102,0.48,64,294,36
High,1.91,155,1.62,66,271,32
Low,1.93,5,2.52,26,310,12
Medium,3.77,167,4.4,77,272,34
High,2.52,55,15,62,311,22
Medium,1.4,326,11.35,66,109,30
Low,1.44,70,3.25,27,109,6
High,3.97,211,5.46,54,,-3
Medium,2.2,362,12.98,34,345,31
Low,0.2,109,2.61,50,131,19
High,0.32,154,6.76,94,350,40
High,2.27,222,7.82,63,236,20
Low,0.78,43,4.55,89,297,-2
Medium,0.84,250,2.48,41,71,10
High,3.27,154,5.62,88,160,30
Low,1.82,171,3.04,50,337,22
High,2.21,38,6.17,55,288,38
Medium,1.82,203,8.79,80,352,35
High,2.71,329,9.82,76,273,20
High,0.98,97,12.37,35,159,23
Low,2.74,166,11.83,59,194,26
Medium,2.92,156,14.55,55,244,20
High,3.25,1,9.93,89,284,
Low,,290,3.91,59,197,38
High,0.94,15,2.29,24,104,19
Low,2.84,303,7.74,59,311,16
Medium,0.66,179,7.85,78,45,33
High,3.71,245,6.88,68,318,21
Low,1.57,347,6.28,55,5,4
Medium,3.42,99,6.43,94,331,10
Medium,2.19,131,4.63,,147,6
Medium,0.01,68,6.42,40,141,10
Medium,1.53,297,6.81,90,192,26
Low,1.2,397,13.37,70,212,38
High,0.27,352,1.52,32,175,4
Low,1.08,104,4.21,52,83,5
High,2.44,348,10.61,99,332,21
High,3.12,338,6.11,48,151,8
Low,1.27,172,1.26,63,242,-1
Medium,2.99,397,9.78,63,229,20
High,0.86,147,1.65,38,170,6
Low,1.55,118,5.41,53,253,6
Medium,2,15,5.33,41,343,13
High,1.28,129,5.96,41,145,15
Medium,3.18,137,7.46,77,277,25
Low,1.83,199,6.37,78,268,28
High,0.31,39,5.19,49,178,2
Low,3.06,183,7.01,68,198,24
High,3.3,326,3.89,,328,37
High,2.14,18,14.59,89,329,38
Low,2.7,92,7.47,100,240,30
Medium,3.91,145,0.01,29,60,-2
High,0.71,231,4.92,45,107,18
Low,1.72,115,0.81,53,145,9
Low,2.53,353,6.22,93,176,36
High,3.04,181,7.62,59,308,33
,1.63,57,5.82,65,,21
Medium,1.41,56,2.16,72,29,-10
Medium,2.99,249,6.29,100,352,33
Low,0.8,258,4.62,15,195,39
Medium,0.32,153,1.74,54,64,-6
Medium,2.73,267,2.47,55,345,37
Low,1.52,163,7.32,45,185,13
Medium,3.07,55,6.03,38,139,12
Low,1.42,333,14.08,59,284,25
Low,3.01,246,10.15,65,200,35
Low,1.49,69,1.66,39,167,18
Low,0.98,84,3.55,67,30,23
High,1.13,194,6.34,17,119,-4
,3.46,140,5.44,24,178,6
Medium,2.49,387,7.27,96,320,37
Medium,1.43,153,3.41,38,186,
Medium,0.08,386,1.79,88,212,38
Low,3.96,256,9.02,70,348,38
Medium,2.27,397,11.5,69,329,
Low,1.47,173,5.67,37,128,-6
High,3.29,299,14.57,76,211,24
High,2.25,182,1.28,61,189,-5
Low,1.63,189,6.51,59,3,19
High,1.9,194,4.06,78,242,39
Medium,2.32,234,9.35,99,219,22
Medium,2.65,63,1.59,14,126,13
High,1.3,375,6.34,93,275,22
High,0.51,381,11.96,58,275,30
Low,2.86,106,6.11,59,188,-1
Medium,1.89,7,0.45,40,147,26
Medium,0.37,175,5.51,34,109,24
Low,1.32,105,5.31,25,157,10
High,0.51,182,5.96,70,218,24
High,2.36,289,5.36,61,293,40
Medium,1.8,207,5.34,90,,37
Medium,2.63,193,4.63,88,211,23
High,1.45,200,6.99,43,17,29
Medium,1.15,115,5.67,51,129,14
Medium,0.62,69,4.14,29,138,12
Low,2.87,169,5.46,57,,
Medium,3.21,15,12.4,64,150,20
Low,1.14,357,6.24,45,189,23
Low,3.31,355,4.85,55,325,25
High,3.21,280,6.69,66,264,25
Medium,3.9,181,6.73,75,271,25
Low,1.46,46,7.97,63,240,29
High,1.8,298,8.68,59,193,34
High,0.9,174,5.7,33,173,1
Medium,0.29,44,2.18,56,43,30
Low,3.01,147,1.86,49,116,17
Medium,0.23,29,5.65,41,84,24
Low,2.6,268,4.72,70,25,9
Medium,3.23,188,5.77,62,195,39
High,1.82,323,10.62,55,261,28
Low,1.11,353,3.3,34,3,21
Medium,0.79,261,11.22,54,21,26
Medium,1.15,130,0.63,22,27,24
Medium,3.13,357,7.35,61,228,21
,0.82,112,6.18,42,127,14
High,3.92,42,10.63,68,308,28
Medium,0.02,346,1.81,14,64,5
Medium,2.62,192,4.44,63,115,14
Low,1.63,316,2.82,53,71,-8
Medium,0.34,57,6.35,28,123,22
Medium,2.98,70,9.81,100,297,39
High,1.86,217,4.16,51,184,-5
Medium,2.24,187,13.61,44,260,34
Low,1.28,146,5.97,50,188,-1
Medium,1,184,2.25,57,68,17
Low,1.85,63,14.27,81,200,
Low,1.59,150,12.4,85,239,28
Medium,1.16,40,3.78,59,95,-10
High,2.81,316,14.94,95,241,38
Medium,1.89,333,5.57,,79,
Low,3.81,36,11.53,15,127,-9
Low,2.03,247,5.43,61,297,32
High,1.88,369,5.24,37,9,15
Low,0.18,21,1.47,23,84,1
Medium,0.97,38,3.99,15,313,-3
Low,,42,1.16,52,149,11
Low,0.18,88,5.1,17,143,13
Low,1.92,56,4.99,44,165,8
High,1.77,255,0.29,96,,32
Low,1.84,44,12.52,17,41,21
High,3.34,338,4.07,81,228,38
Low,0.94,136,0.66,70,181,7
High,3.82,245,14.65,92,227,21
Medium,1.64,55,9.68,71,240,37
Low,0.43,57,0.91,39,324,20
Low,1.86,394,3.59,47,116,
Low,1.6,213,12.79,45,115,-4
Low,1.21,54,2.41,24,117,20
High,1.57,301,13.87,82,,24
Medium,1.88,86,11.55,47,17,3
Medium,0.68,196,2.21,33,165,33
Medium,1.56,106,5.49,67,244,40
Medium,1.67,137,6.19,17,323,32
,3.22,388,5.02,72,235,40
Medium,3.13,289,3.05,18,52,7
High,1.74,157,7.5,52,159,-8
Medium,3.85,29,10.89,68,176,11
Medium,1.67,81,4.86,54,119,-8
Low,1.84,85,0.68,55,83,23
High,1.6,43,6.75,19,329,24
Medium,0.38,40,5.97,21,143,-6
Low,3.43,19,0.22,46,131,-8
High,1.26,152,6.05,35,126,6
Low,1.24,126,1.53,34,18,18
Medium,2.39,317,11.53,,305,34
Low,1.87,73,4.56,52,153,-1
Low,1.55,271,4.97,59,167,19
Medium,2,76,13.04,80,275,8
High,1.79,19,7.47,30,163,2
Medium,2.42,216,6.98,57,278,22
Low,1.79,193,1.71,78,300,24
High,1.21,298,2.13,59,271,40
Medium,3.61,211,11.73,58,275,23
High,1.87,212,10.37,85,295,25
Low,2.13,323,9.35,88,194,25
Medium,1.74,54,5.65,41,68,
Medium,1.25,302,0.8,68,282,39
High,0.92,113,2.93,59,149,-8
Low,1.02,3,1.19,66,360,17
Medium,3.53,91,7.58,81,346,24
High,2.87,186,9.48,57,316,29
Low,1.37,173,5.3,33,21,24
Medium,2.1,261,11.22,85,,30
Medium,2.3,380,5.06,,293,36
High,2.23,371,0.59,89,338,34
Low,2.38,173,9.1,52,211,-3
Medium,0.12,138,2.26,59,38,15
Medium,2.3,284,11.64,93,312,33
Low,0.24,24,1.02,54,82,
Low,3.66,369,2.2,20,128,6
Low,1.14,13,0.89,52,33,11
Medium,0.32,44,5.15,53,57,23
High,3.23,164,10.54,41,263,30
High,1.07,93,6.83,57,167,17
Medium,2.84,209,4.94,21,212,28
High,1.31,189,5.22,49,343,21
Medium,1.78,384,12.8,,180,29
High,2.45,266,9.43,45,358,36
Low,1.32,107,2.09,45,63,-9
Medium,1.63,44,4.71,31,115,11
High,1.49,115,4.66,97,173,30
High,0.03,34,3.2,20,11,24
Low,2.22,128,8.3,73,350,33
High,1.23,118,6.51,21,76,12
Low,1.21,26,2.76,30,21,24
Low,2.68,174,13.07,83,316,37
High,1.2,56,5.96,51,19,-5
Medium,0.11,127,11.07,58,30,-10
High,1.56,200,1.5,36,103,8
High,3.56,324,12.73,92,348,27
Low,1.91,164,7.39,53,116,8
Medium,0.11,360,1.85,,285,34
Medium,0.05,327,9.48,85,280,23
Low,0.61,34,2.02,35,200,23
Low,2.98,72,4.37,53,129,17
Low,1.25,180,7.85,15,94,22
Low,0.17,134,6.26,24,33,1
Medium,0.56,168,5.69,27,,-9
,0.25,6,4.76,49,,17
Low,3.49,388,4.83,85,223,24
Medium,0.69,177,9.4,21,86,4
Low,0.81,147,4.81,42,32,20
Medium,1.91,32,0.97,39,127,-9
High,3.29,232,9.66,61,326,39
High,0.77,156,0.36,31,9,1
Medium,0.24,121,0.14,,145,2
Medium,1.58,66,5.28,45,114,-2
High,2,339,5.79,58,286,21
Low,0.72,46,3.01,54,331,-8
Medium,1.46,31,5.16,81,186,21
Medium,0.77,164,5.19,69,329,26
Low,0.24,10,9.78,43,157,24
Medium,1.64,396,14.39,75,264,37
Medium,3.8,370,11.92,55,235,36
Low,0.88,296,3.24,37,9,5
Low,3.7,106,2.09,42,,12
Medium,,181,2.47,52,132,-10
Medium,0.1,203,8.79,67,185,18
High,2.8,289,9.27,88,333,21
High,1.27,29,6.28,55,80,16
Medium,2.05,399,11.72,84,187,17
High,2.11,166,4.62,65,257,28
High,0.36,138,7.45,56,131,34
Medium,1.91,278,9.85,77,20,9
Low,0.23,199,8.25,16,67,17
Medium,0.51,342,0.27,38,112,-5
High,1.21,224,10.31,78,315,24
Medium,1.91,384,8.89,37,235,-8
Medium,2.48,355,7.78,69,64,26
High,1.35,89,1.75,15,88,20
Low,0.18,268,0.69,28,54,20
Medium,0.4,13,4.14,50,178,22
High,3.68,238,4.24,,260,38
Medium,1.96,192,6.74,48,183,30
,1.87,379,12.89,67,345,33
High,1.98,371,12.13,22,171,37
Medium,3.77,373,11.25,77,234,21
Low,0.57,104,0.33,33,146,-9
Low,1.51,367,10.21,56,239,32
Medium,3.64,181,7.17,34,121,20
Low,0.81,118,11.1,60,64,15
Medium,2.93,219,3.77,77,202,26
Low,0.49,89,6.75,55,174,16
Medium,1.73,182,0.04,51,99,7
Low,1.61,204,10.86,54,160,32
High,3.51,282,10.13,86,93,26
High,2.14,210,8.03,19,194,35
Low,1.86,52,4.97,47,63,40
Medium,2.15,246,4.2,66,245,32
Low,3.99,14,8.69,20,143,-6
Medium,0.27,386,9.22,88,267,26
High,1.62,186,0.57,40,62,11
High,2.6,278,11.95,90,235,39
High,1.62,347,13.83,74,301,34
High,1.82,314,12.45,,40,8
Low,0.1,14,2.77,59,115,
High,3.46,321,6.42,58,210,39
High,1.46,132,7.83,51,342,31
Low,1.54,160,5.96,16,168,7
Low,1.22,168,3.81,54,30,-7
Low,1.8,130,7.38,20,285,21
High,1.28,201,14.41,69,223,40
Low,0.54,80,7.22,41,117,16
High,1.64,103,6.87,59,353,27
Medium,2.95,295,9.52,78,246,30
Low,3.17,226,4.34,91,327,37
High,0.39,388,1.6,53,107,2
High,2,343,13.91,60,199,32
High,3.23,393,7.5,97,72,27
Medium,1.31,332,13.75,70,131,2
High,0.09,88,5.27,22,185,2
Low,0.8,103,5.2,17,8,-4
Low,3.3,218,12.18,92,332,35
High,3.99,387,12.45,57,197,34
Low,0.26,290,4.14,39,160,-7
Low,3.41,17,1.07,90,119,11
Medium,0.17,152,5.95,78,82,-7
Low,3.44,223,2.77,45,103,4
High,0.81,109,2.03,35,160,25
Medium,1.27,183,6.28,52,4,2
Low,0.73,140,9.77,33,37,3
Medium,0.92,184,1.97,63,101,35
Low,1.75,313,5.74,25,234,-3
Medium,1.93,159,7.84,,126,21
Medium,3.09,111,12.46,62,69,-5
Low,3.11,2,5.54,31,154,18
High,0.9,333,6.07,72,253,11
Medium,3.07,160,13.67,78,353,36
Low,1.84,141,4.78,25,35,2
Low,0.76,93,2.2,38,5,4
Medium,2.97,104,11.93,31,,-1
Low,0.79,147,1.16,56,29,-8
Low,3.02,149,4.82,59,178,-1
